Date,Open,High,Low,Close,
9-November-2022,61304.29,61447.23,60905.15,61033.55,
10-November-2022,60524.27,60848.73,60425.47,60613.70,
11-November-2022,61311.02,61840.97,61311.02,61795.04,
14-November-2022,61765.86,61916.24,61572.03,61624.15,
15-November-2022,61630.05,61955.96,61436.90,61872.99,
16-November-2022,61708.63,62052.57,61708.63,61980.72,
17-November-2022,61812.36,62050.80,61643.27,61750.60,
18-November-2022,61858.20,61929.88,61337.43,61663.48,
21-November-2022,61456.33,61456.33,61059.33,61144.84,
22-November-2022,61126.56,61466.63,61073.68,61418.96,
23-November-2022,61779.71,61780.90,61442.69,61510.58,
24-November-2022,61656.00,62412.33,61600.42,62272.68,
25-November-2022,62327.88,62447.73,62115.66,62293.64,
28-November-2022,62016.35,62701.40,61959.74,62504.80,
29-November-2022,62362.08,62887.40,62362.08,62681.84,
30-November-2022,62743.47,63303.01,62648.38,63099.65,
1-December-2022,63357.99,63583.07,63183.77,63284.19,
2-December-2022,62978.58,63148.59,62679.63,62868.50,
5-December-2022,62865.28,62939.63,62507.88,62834.60,
6-December-2022,62395.55,62677.84,62390.07,62626.36,
7-December-2022,62615.52,62759.97,62316.65,62410.68,
8-December-2022,62504.04,62633.56,62320.18,62570.68,
9-December-2022,62690.86,62735.42,61889.11,62181.67,
12-December-2022,61770.56,62239.42,61676.15,62130.57,
13-December-2022,62300.67,62567.92,62129.57,62533.30,
14-December-2022,62685.94,62835.11,62591.28,62677.91,
15-December-2022,62530.07,62624.81,61715.61,61799.03,
16-December-2022,61534.24,61893.22,61292.53,61337.81,
19-December-2022,61405.80,61844.92,61265.31,61806.19,
20-December-2022,61608.85,61780.37,61102.68,61702.29,
21-December-2022,61993.71,62006.46,60938.38,61067.24,
22-December-2022,61257.17,61464.38,60637.24,60826.22,
23-December-2022,60205.56,60546.88,59765.56,59845.29,
26-December-2022,59755.08,60833.78,59754.10,60566.42,
27-December-2022,60861.41,60986.68,60405.66,60927.43,
28-December-2022,60811.52,61075.33,60713.77,60910.28,
29-December-2022,60628.29,61210.65,60479.06,61133.88,
30-December-2022,61329.16,61392.68,60743.71,60840.74,
